asvid,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9,taxonomy
bccbe0b146142f49167769d091779716,0,0,0,0,0,0,0,0,12,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Suctoria; s__Pyropia_sp.
333f8feb57ebdcade40706a28d610c7b,0,0,0,4,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
89887b78633dac798c8001c78b4e89de,0,0,0,5,15,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Gonyaulacales; f__Gonyaulacales; g__Azadinium; s__uncultured_marine
69dba3c21f8ec6181edc2e087f983a70,0,0,0,0,0,0,0,0,5,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Pseudovorticella
fd410bff66ebc827664d7cf84af316b8,0,0,0,0,0,0,0,0,4,0,0,0,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Amphora
2e1779e791e4967261a572a2d8408adf,1,0,0,0,0,0,0,0,0,0,0,3,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Trochilia; s__Trochilia_petrani
fe4936b104f208a9964147781f0bf408,0,0,0,0,0,0,0,0,0,1,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium; s__Zoothamnium_duplicatum
9772b0e527c77a3ee82d4b8de414b06f,0,0,0,0,0,0,0,0,0,0,0,2,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Imbricatea; o__Imbricatea; f__Thaumatomonadida; g__D2P04A09; s__uncultured_marine
2f9b0886b40e1dda2f0391f4d3afc506,0,0,4,3,19,18,20,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinoflagellata; o__Noctilucales; f__Noctilucales; g__Noctilucales; s__uncultured_eukaryote
ba4c10c2970770059aca7f6b8b8f7740,0,0,0,0,0,0,0,0,11,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Vaginicola; s__uncultured_eukaryote
